Segment,Brand,Collection,commodity_code,commodity_group,secondary_salesrep_name,primary_fullname,cust_store_id,cust_id,cust_name,fabric_content,final_subbrand,first_season,Garment Type,style_status,style_id,Color,Color Type,style_description,alternate_style_description
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2015 April (Summer 2015),Shorts,Discontinued,62072,RNVY,Solid,Real School Girls Low Rise Short,Girls Short
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2015 April (Summer 2015),Shorts,Discontinued,62362,RKAK,Solid,Real School Boys Flat Front Short,Boys Short
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2015 April (Summer 2015),Shorts,Discontinued,62362,RNVY,Solid,Real School Boys Flat Front Short,Boys Short
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2015 April (Summer 2015),Shorts,Discontinued,62363,RKAK,Solid,Real School Boys Husky Flat Front  Short,Boys Short
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2015 April (Summer 2015),Shorts,Discontinued,62363,RNVY,Solid,Real School Boys Husky Flat Front  Short,Boys Short
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2018 January (Spring 2018),Pant,Discontinued,60364,RKAK,Solid,Men's Flat Front Pant,Men's Flat Front Pan
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2018 January (Spring 2018),Pant,Discontinued,60364,RNVY,Solid,Men's Flat Front Pant,Men's Flat Front Pan
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2018 January (Spring 2018),Pant,Discontinued,61073,RKAK,Solid,Girls Low Rise Pant,Girls Low Rise Pant
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2018 January (Spring 2018),Pant,Discontinued,61073,RNVY,Solid,Girls Low Rise Pant,Girls Low Rise Pant
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2018 January (Spring 2018),Pant,Discontinued,61074,RNVY,Solid,Juniors Low Rise Pant,Junior Low Rise Pant
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2018 January (Spring 2018),Scooter,Discontinued,65323,RKAK,Solid,Pleat Front Scooter,Pleat Frt Scooter
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2018 January (Spring 2018),Scooter,Discontinued,65323,RNVY,Solid,Pleat Front Scooter,Pleat Frt Scooter
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2018 January (Spring 2018),Shorts,Discontinued,62364,RNVY,Solid,Real School Men's Flat Front Short,Men's Short
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2019 January (Spring 2019),Jumper,Discontinued,64232,RKAK,Solid,Drop Waist Jumper w/Ribbon Bow,Drop Waist Jumper
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2019 January (Spring 2019),Jumper,Discontinued,64232,RNVY,Solid,Drop Waist Jumper w/Ribbon Bow,Drop Waist Jumper
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2019 January (Spring 2019),Jumper,Discontinued,64233,RKAK,Solid,Drop Waist Jumper w/Ribbon Bow,Drop Waist Jumper
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2019 January (Spring 2019),Jumper,Discontinued,64233,RNVY,Solid,Drop Waist Jumper w/Ribbon Bow,Drop Waist Jumper
