Category,wm_week,WM Year,WM Weeks,WM Month,WM Month Nbr,upc, net unit sales,net retail sales
WM.com Exclusive,201901,2019,1,1 February,,71660573186,9,168
WM.com Exclusive,201901,2019,1,1 February,,71660573309,5,94
WM.com Exclusive,201901,2019,1,1 February,,71660574551,11,205
WM.com Exclusive,201901,2019,1,1 February,,71660574778,6,111
WM.com Exclusive,201901,2019,1,1 February,,71660574779,10,188
WM.com Exclusive,201901,2019,1,1 February,,71660574781,5,94
WM.com Exclusive,201901,2019,1,1 February,,71660574782,2,38
WM.com Exclusive,201901,2019,1,1 February,,71660574813,3,57
WM.com Exclusive,201901,2019,1,1 February,,71660574814,2,38
WM.com Exclusive,201901,2019,1,1 February,,71660574815,2,38
WM.com Exclusive,201901,2019,1,1 February,,71660574816,2,38
WM.com Exclusive,201901,2019,1,1 February,,71660574817,2,38
WM.com Exclusive,201901,2019,1,1 February,,71660575670,1,16
WM.com Exclusive,201901,2019,1,1 February,,71660575671,4,64
WM.com Exclusive,201901,2019,1,1 February,,71660575675,1,16
WM.com Exclusive,201901,2019,1,1 February,,71660575847,2,25
WM.com Exclusive,201901,2019,1,1 February,,71660575853,1,13
WM.com Exclusive,201901,2019,1,1 February,,71660578990,11,205
WM.com Exclusive,201901,2019,1,1 February,,71660578992,5,94
WM.com Exclusive,201901,2019,1,1 February,,71660578993,7,130
WM.com Exclusive,201901,2019,1,1 February,,71660578994,3,57
WM.com Exclusive,201901,2019,1,1 February,,71660579102,0,0
WM.com Exclusive,201901,2019,1,1 February,,71660579103,6,113
WM.com Exclusive,201901,2019,1,1 February,,71660579104,5,94
WM.com Exclusive,201901,2019,1,1 February,,71660579105,2,38
WM.com Exclusive,201901,2019,1,1 February,,71660579107,1,19
WM.com Exclusive,201901,2019,1,1 February,,71660579174,1,25
WM.com Exclusive,201901,2019,1,1 February,,71660579175,2,50
WM.com Exclusive,201901,2019,1,1 February,,71660579179,5,124
WM.com Exclusive,201901,2019,1,1 February,,71660579246,1,25
WM.com Exclusive,201901,2019,1,1 February,,71660579247,4,99
Prints,201901,2019,1,1 February,,71660579315,2,32
Prints,201901,2019,1,1 February,,71660579318,2,32
Prints,201901,2019,1,1 February,,71660579319,1,16
Prints,201901,2019,1,1 February,,71660579324,1,16
Prints,201901,2019,1,1 February,,71660579325,7,112
Prints,201901,2019,1,1 February,,71660579573,3,48
Prints,201901,2019,1,1 February,,71660579574,4,64
Prints,201901,2019,1,1 February,,71660579575,9,144
Prints,201901,2019,1,1 February,,71660579576,1,16
Prints,201901,2019,1,1 February,,71660579577,2,32
Prints,201901,2019,1,1 February,,71660579578,2,32
WM.com Exclusive,201901,2019,1,1 February,,71660580869,1,13
WM.com Exclusive,201901,2019,1,1 February,,71660581555,1,25
WM.com Exclusive,201901,2019,1,1 February,,71660581864,1,25
WM.com Exclusive,201901,2019,1,1 February,,71660582146,1,25
WM.com Exclusive,201901,2019,1,1 February,,71660582153,0,0
Seasonal Solids,201901,2019,1,1 February,,71660582575,4,75
Seasonal Solids,201901,2019,1,1 February,,71660582576,3,57
Seasonal Solids,201901,2019,1,1 February,,71660582577,9,170
Seasonal Solids,201901,2019,1,1 February,,71660582578,9,170
Seasonal Solids,201901,2019,1,1 February,,71660582660,13,245
Seasonal Solids,201901,2019,1,1 February,,71660582694,6,113
Seasonal Solids,201901,2019,1,1 February,,71660582695,3,57
Seasonal Solids,201901,2019,1,1 February,,71660582763,0,0
Seasonal Solids,201901,2019,1,1 February,,71660582765,3,57
Seasonal Solids,201901,2019,1,1 February,,71660582766,2,38
Seasonal Solids,201901,2019,1,1 February,,71660582767,1,19
Seasonal Solids,201901,2019,1,1 February,,71660582768,2,38
Seasonal Solids,201901,2019,1,1 February,,71660582776,6,113
Seasonal Solids,201901,2019,1,1 February,,71660582777,5,94
Seasonal Solids,201901,2019,1,1 February,,71660582778,10,188
Seasonal Solids,201901,2019,1,1 February,,71660582779,18,339
WM.com Exclusive,201901,2019,1,1 February,,71660583196,0,0
Seasonal Solids,201901,2019,1,1 February,,71660583317,5,94
Seasonal Solids,201901,2019,1,1 February,,71660583318,10,188
Seasonal Solids,201901,2019,1,1 February,,71660583319,7,132
WM.com Exclusive,201901,2019,1,1 February,,71660583335,1,25
Seasonal Solids,201901,2019,1,1 February,,71660583523,5,94
Seasonal Solids,201901,2019,1,1 February,,71660583531,3,57
Seasonal Solids,201901,2019,1,1 February,,71660583601,6,113
Seasonal Solids,201901,2019,1,1 February,,71660583740,6,113
Seasonal Solids,201901,2019,1,1 February,,71660583741,4,75
Seasonal Solids,201901,2019,1,1 February,,71660583742,6,113
Seasonal Solids,201901,2019,1,1 February,,71660583743,2,38
Seasonal Solids,201901,2019,1,1 February,,71660583744,1,19
Seasonal Solids,201901,2019,1,1 February,,71660583745,1,19
WM.com Exclusive,201901,2019,1,1 February,,71660584856,2,16
WM.com Exclusive,201901,2019,1,1 February,,71660584858,2,16
WM.com Exclusive,201901,2019,1,1 February,,71660584861,1,8
WM.com Exclusive,201901,2019,1,1 February,,71660585026,2,16
WM.com Exclusive,201901,2019,1,1 February,,71660585154,1,11
WM.com Exclusive,201901,2019,1,1 February,,71660585176,1,8
WM.com Exclusive,201901,2019,1,1 February,,71660585178,3,23
WM.com Exclusive,201901,2019,1,1 February,,71660585475,1,8
WM.com Exclusive,201901,2019,1,1 February,,71660585747,1,8
WM.com Exclusive,201901,2019,1,1 February,,71660586284,6,48
